usuario_id;nombres;apellidos;email;movimientos;cluster;producto_recomendado_id;producto_recomendado;marca;familia;concentracion;genero_objetivo;precio;stock;puntaje_compatibilidad;probabilidad_compra;incertidumbre_probabilidad;visitas_producto_recomendado;reservas_producto_recomendado;compras_producto_recomendado;favoritos_producto_recomendado;coincidencias_busqueda_producto;producto_mas_reservado_id;producto_mas_reservado;reservas_producto_mas_reservado;motivo
2;Lucia;Garcia;cliente01@marlyperfume.pe;92;2;28;Bloom Chic;Carolina Herrera;Floral;EDP;MUJER;409.9;6;12.1823;0.032;0.064;5;0;0;0;209.5;2;Miss Dior;7;familia Floral, genero MUJER, concentracion EDP
3;Camila;Flores;cliente02@marlyperfume.pe;92;3;23;Blue Pulse;Versace;Aromatica;EDP;HOMBRE;359.9;9;11.4497;0.0269;0.0538;5;0;0;0;124.5;6;Dylan Blue;5;familia Aromatica, marca Versace, genero HOMBRE
4;Valeria;Ramos;cliente03@marlyperfume.pe;92;0;9;1 Million;Paco Rabanne;Oriental;EDT;HOMBRE;339.9;13;10.2872;0.0014;0.0028;3;0;0;0;139;20;Asad;5;familia Oriental, genero HOMBRE, 3 visitas previas
5;Andrea;Quispe;cliente04@marlyperfume.pe;92;1;2;Miss Dior;Dior;Floral;EDP;MUJER;469.9;8;10.7195;0.0061;0.0122;3;0;0;0;192;28;Bloom Chic;5;genero MUJER, concentracion EDP, 3 visitas previas
6;Daniela;Torres;cliente05@marlyperfume.pe;92;0;10;Invictus;Paco Rabanne;Aromatica;EDT;HOMBRE;329.9;15;10.437;0.4044;0.8088;0;2;0;1;114.5;22;Savage Code;5;familia Aromatica, genero HOMBRE, coincide con sus busquedas
22;Lucia;Garcia;cliente21@marlyperfume.pe;13;1;13;Y;Yves Saint Laurent;Aromatica;EDP;HOMBRE;429.9;8;6.4973;0.0004;0.0008;3;0;0;0;4.5;2;Miss Dior;2;familia Aromatica, genero HOMBRE, concentracion EDP
23;Camila;Flores;cliente22@marlyperfume.pe;13;1;27;Velvet Coco;Chanel;Floral;EDP;MUJER;509.9;6;6.8252;0.0004;0.0008;0;0;0;0;12;4;Coco Mademoiselle;2;familia Floral, marca Chanel, genero MUJER
24;Valeria;Ramos;cliente23@marlyperfume.pe;13;1;6;Dylan Blue;Versace;Amaderada;EDT;HOMBRE;319.9;9;7.5132;0.3194;0.6388;0;2;0;1;7.5;6;Dylan Blue;2;marca Versace, genero HOMBRE, concentracion EDT
25;Andrea;Quispe;cliente24@marlyperfume.pe;13;1;12;212 VIP Black;Carolina Herrera;Aromatica;EDP;HOMBRE;309.9;4;7.2136;0.0009;0.0018;3;0;0;0;15;8;Si;2;genero HOMBRE, concentracion EDP, 3 visitas previas
26;Daniela;Torres;cliente25@marlyperfume.pe;13;1;15;Le Male;Jean Paul Gaultier;Oriental;EDT;HOMBRE;359.9;6;6.3094;0.0006;0.0012;3;0;0;0;7.5;10;Invictus;2;familia Oriental, genero HOMBRE, 3 visitas previas
